tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
112,Nauclea_diderrichii,44,33.73647,45.0,30.0,27.5,32.0,21.0,20.7,7.7,11.0,0.0046572295,0.34375,0.08940163600318368,16.12893333333333,10.584612499999999,1207.7293288423982,5.6378069708782235
113,Nauclea_diderrichii,44,35.37301,40.0,20.0,17.5,26.0,20.0,19.7,5.75,6.0,0.002597059375,0.23076923076923078,0.09828567465394085,9.360541666666668,7.200416666666668,1127.5177627174685,3.663004141762769
114,Nauclea_diderrichii,44,49.6499,60.0,40.0,30.0,31.0,18.0,17.7,8.18,13.0,0.005255969019999999,0.41935483870967744,0.19363459237428549,20.292083333333334,11.782499999999999,2331.8516082774013,3.3805082310295993
115,Nauclea_diderrichii,44,33.73647,35.0,30.0,27.5,32.0,20.0,19.7,7.7,12.0,0.0046572295,0.375,0.08940163600318368,15.291066666666662,9.556916666666664,945.0278574651464,5.3449338814819525
116,Nauclea_diderrichii,44,30.0,38.0,27.5,15.0,28.0,20.0,19.7,3.35,8.0,0.0008815273749999999,0.2857142857142857,0.070695,11.950073333333336,8.53576666666667,913.1625397384765,6.037037037037039
117,Nauclea_diderrichii,44,21.96053,25.0,17.5,10.0,21.0,16.5,16.2,3.835,4.5,0.00115525252375,0.21428571428571427,0.037881906157544686,5.773425,4.536262499999999,447.55023604391926,7.257422550402603
118,Nauclea_diderrichii,44,43.28453,48.0,30.0,17.5,28.7,19.7,19.4,9.39,9.0,0.006925918455,0.31358885017421606,0.14716739470655668,13.939613916666666,9.568306416666665,1640.4429116297767,3.3003290864922414
119,Nauclea_diderrichii,44,28.32591,22.5,17.5,12.5,21.0,15.5,15.2,3.15,5.5,0.0007794123749999999,0.2619047619047619,0.06302515627912225,5.773425,4.2613375,517.6909204072504,4.362147057318314
120,Nauclea_diderrichii,44,35.0,45.5,30.0,17.5,32.0,23.0,22.7,6.285,9.0,0.00310282122375,0.28125,0.09622375,15.33296,11.020565,1265.4310507415355,4.979591836734694
121,Nauclea_diderrichii,44,40.42011,50.5,30.0,20.0,37.0,23.0,22.7,7.075,14.0,0.00393186934375,0.3783783783783784,0.12833383471897045,18.4553225,11.472227499999999,1612.3543318491388,3.886679620322044
122,Nauclea_diderrichii,44,42.32973,60.0,32.5,25.0,35.5,21.5,21.2,6.125,14.0,0.00294685234375,0.39436619718309857,0.14074636458911627,19.984429166666665,12.103245833333332,1995.678502700137,3.999688860952634
123,Nauclea_diderrichii,44,44.87588,50.0,29.0,22.5,32.0,19.0,18.7,5.975,13.0,0.0028042840937499993,0.40625,0.15818749378357913,15.793786666666664,9.377560833333332,1768.350474133443,3.120068606741954
124,Nauclea_diderrichii,44,30.0,33.7,20.0,10.0,31.0,24.0,23.7,6.5,7.0,0.0033187374999999997,0.22580645161290322,0.070695,10.040522833333336,7.773308000000001,812.1683857769964,4.581481481481483
125,Nauclea_diderrichii,44,30.0,36.5,27.5,15.0,31.8,21.7,21.4,4.825,10.1,0.0018286930937500001,0.31761006289308175,0.070695,13.446974500000001,9.176080083333334,877.9648576533428,5.981481481481483
126,Nauclea_diderrichii,44,43.6028,60.0,32.5,30.0,36.5,24.5,24.2,2.0,12.0,0.0003142,0.3287671232876712,0.14933958738383202,21.025216666666662,14.112816666666664,2054.2372803210064,3.857204532464755
127,Nauclea_diderrichii,44,30.0,33.7,20.0,10.0,30.0,25.0,24.7,4.5,5.0,0.0015906375,0.16666666666666666,0.070695,9.716635000000002,8.097195833333336,812.1683857769964,4.581481481481482
